text,category,priority
Fasilitas pendingin udara di ruang dosen menyala terus sementara di ruang mahasiswa mati,fasilitas,urgent
Penggunaan pengeras suara untuk kegiatan ormawap sangat keras mengganggu perkuliahan,lainnya,urgent
Parkir liar di pinggir jalan utama kampus menghambat mobil pemadam jika terjadi kebakaran,fasilitas,urgent
"""""""Koneksi internet di asrama mahasiswa sangat buruk, hanya bisa akses WhatsApp text""""""",teknologi,urgent
Beasiswa afirmasi untuk mahasiswa Papua tidak kunjung diumumkan jadwal seleksinya,kesejahteraan,normal
Dosen tidak memberikan silabus di awal semester sehingga mahasiswa bingung materi apa saja,akademik,normal
Toilet umum kampus sering dikunci saat jam istirahat padahal banyak mahasiswa yang butuh,fasilitas,urgent
Pintu gerbang keluar kampus sering macet karena hanya satu yang beroperasi saat jam pulang, fasilitas,normal
Tidak ada posko kesehatan atau UKS yang buka 24 jam untuk keadaan darurat, fasilitas,urgent
Printer di laboratorium komputer tinta habis dan tidak kunjung diganti selama 2 minggu, fasilitas,normal
Laporan tugas akhir saya hilang dari sistem padahal sudah saya upload seminggu lalu,teknologi,urgent
Saya mendapat perlakuan tidak adil dari dosen pembimbing lapangan karena berbeda agama,lainnya,urgent
Lampu penerangan jalan di sekitar gedung kuliah malam mati padahal banyak mahasiswa yang pulang malam,fasilitas,urgent
Pengingat jadwal ujian tidak tersinkronisasi antara kalender akademik dan SIAKAD,teknologi,normal
Tempat ibadah mahasiswa katolik belum tersedia di kampus padahal jumlahnya cukup banyak,fasilitas,normal
Kegiatan ormawa mengadakan konser musik tengah malam di area parkir mengganggu istirahat mahasiswa asrama,lainnya,urgent
Validasi KRS online selalu error di menit menit pertama pembukaan padahal semua mahasiswa berebut,teknologi,urgent
Dosen tidak memperbolehkan mahasiswa menyusul ujian susulan meskipun ada surat keterangan sakit dari dokter,akademik,urgent
Mahasiswa kehilangan laptop di perpustakaan karena keluar sebentar ke toilet, fasilitas,urgent
Fasilitas gym kampus alat alatnya sudah banyak yang rusak dan berkarat,fasilitas,normal
Perpustakaan kekurangan koleksi buku teks edisi terbaru untuk mata kuliah wajib,akademik,normal
Saya mendapatkan nilai D padahal seluruh tugas dan ujian saya kerjakan dengan baik dan tepat waktu,akademik,urgent
Biaya SKS per semester ditagihkan 24 SKS padahal saya hanya mengambil 18 SKS,keuangan,urgent
Dosen pengampu matakuliah etika profesi tidak pernah hadir selama 4 pertemuan berturut turut,akademik,urgent
Lahan parkir sepeda motor tidak memiliki atap sehingga motor panas terik saat siang hari, fasilitas,normal
Tidak ada mushaf Al Quran dan sajadah yang cukup di mushola kampus,fasilitas,low
Data nilai ujian tengah semester saya hilang dari sistem dosen,teknologi,urgent
Kipas angin plafon di kelas 307 rusak dan belum diganti padahal sudah diusulkan sejak bulan lalu,fasilitas,normal
Dosen meminta mahasiswa beli buku referensi buatan dosen yang sama dengan harga dua kali lipat dari pasaran,akademik,urgent
Tidak ada prosedur pengaduan yang jelas ketika mahasiswa mengalami perundungan oleh senior,lainnya,urgent
ATM kampus yang ada di lobi fakultas sering kosong uang saat akhir pekan, fasilitas,normal
Brosur sosialisasi beasiswa tidak pernah sampai ke papan pengumuman departemen,administrasi,low
Aplikasi presensi mahasiswa tidak bisa memindai wajah jika kondisi ruangan gelap,teknologi,normal
Musik dari kantin fakultas seni sangat keras mengganggu perkuliahan di gedung sebelah,lainnya,normal
Dispenser air di koridor lantai 4 tidak pernah diisi ulang padahal sudah lapor berkali kali, fasilitas,normal
Mahasiswa tidak bisa print tugas karena kartu print perpustakaan tidak memiliki saldo padahal sudah isi ulang,teknologi,urgent
Dosen menolak merubah nilai yang salah input di sistem padahal bukti nilai asli sudah ditunjukkan,akademik,urgent
PKM (Program Kreativitas Mahasiswa) pendanaan dicairkan sangat lambat sehingga kegiatan batal,keuangan,urgent
WC di asrama putri tidak memiliki kunci yang layak sehingga tidak aman, fasilitas,urgent
Kursi di ruang kuliah 502 banyak yang patah kakinya dan membahayakan mahasiswa,fasilitas,urgent
Sistem seleksi beasiswa bidikmisi tidak transparan dan banyak peserta dari keluarga mampu lolos,keuangan,urgent
Jaringan 4G di area fakultas pertanian sangat lemah bahkan untuk buka WA,teknologi,urgent
Tidak ada ruang khusus untuk mahasiswa berkebutuhan khusus saat ujian (ruang sendiri),fasilitas,urgent
Pengurus BEM memotong dana kegiatan mahasiswa tanpa sepengetahuan anggota,keuangan,urgent
Dosen memberikan soal ujian di luar materi yang diajarkan di kelas,akademik,urgent
Pendaftaran magang di portal karir kampus sering timeout saat mengunggah berkas,teknologi,normal
Mahasiswa tidak dapat mengakses transkrip akademik karena website error menjelang pendaftaran kerja,teknologi,urgent
Pelecehan online di grup angkatan oleh mahasiswa tidak ditindak tegas oleh pihak fakultas,lainnya,urgent
Tidak ada fasilitas dropbox untuk mengumpulkan tugas malam hari saat ruang dosen tutup,fasilitas,normal
Tempat wudhu di mushola kampus kotor dan tidak ada saluran air yang lancar,fasilitas,urgent
Kipas angin berdiri di ruang tunggu dosen rusak padahal ruangan sangat panas di siang hari,fasilitas,normal
Konseling psikologi gratis dari kampus tidak pernah tersedia jadwalnya jelas padahal banyak mahasiswa stres, kesejahteraan,urgent
"""""""Fasilitas hotspot wifi hanya tersedia di gedung rektorat, tidak merata ke fakultas lain""""""",teknologi,normal
Sistem pembayaran UKT online sering gagal di tengah jalan tapi saldo tetap terpotong,teknologi,urgent
Dosen tidak hadir saat jadwal konsultasi skripsi padahal sudah janjian,lainnya,normal
Pintu darurat di gedung kuliah lantai 3 terkunci dari luar sehingga tidak bisa difungsikan saat darurat,fasilitas,urgent
Koperasi mahasiswa menjual makanan kadaluarsa tanpa menarik dari rak, kesejahteraan,urgent
Tidak ada fasilitas bagi mahasiswa yang lupa KTM untuk tetap bisa ujian,administrasi,normal
Praktikum online tidak bisa diikuti karena kuota internet mahasiswa habis,teknologi,urgent
Dosen membedakan nilai mahasiswa reguler dan mahasiswa karyawan dalam satu kelas yang sama,akademik,urgent
Tidak ada tanda peringatan bahaya di area konstruksi pembangunan gedung baru,fasilitas,urgent
Mahasiswa tidak diperkenankan membawa air minum ke ruang ujian padahal ujian berlangsung 3 jam,akademik,normal
Sertifikat TOEFL dari pusat bahasa kampus tidak diakui oleh instansi tempat melamar kerja,administrasi,urgent
Kabel listrik menjuntai di koridor gedung lama sangat membahayakan mahasiswa,fasilitas,urgent
Sound system untuk acara dies natalis kampus sangat buruk dan tidak terdengar jelas, fasilitas,normal
Mahasiswa tidak diberikan handout atau modul ajar secara digital padahal perkuliahan hybrid,akademik,normal
Pembayaran wisuda diwajibkan membayar paket jas almamater dan atribut lain padahal tidak semua mahasiswa mau,keuangan,urgent
Dosen tidak memberikan remidial bagi mahasiswa yang nilainya hampir lulus padahal diatur dalam peraturan akademik,akademik,urgent
Lampu taman kampus mati sehingga rawan menjadi tempat pertemuan gelap orang tidak dikenal,fasilitas,urgent
Tempat parkir dosen lebih banyak dan strategis sedangkan mahasiswa diparkir jauh di belakang kampus,fasilitas,normal
Tidak ada UKM yang mewadahi mahasiswa dengan minat debat bahasa Inggris secara serius,kesejahteraan,low
Website beasiswa kampus tidak bisa diakses dari HP android,teknologi,normal
Ruangan kelas tidak memiliki jam dinding sehingga mahasiswa dan dosen tidak bisa memantau waktu, fasilitas,low
Denda keterlambatan pengembalian buku perpustakaan terlalu tinggi dan tidak proporsional,administrasi,normal
Layanan pengurusan cuti akademik harus bolak balik ke 4 meja berbeda di kampus,administrasi,urgent
Mahasiswa difabel kursi roda tidak bisa masuk ke gedung C karena terdapat anak tangga di setiap pintu,fasilitas,urgent
Sewa ruang untuk UKM di kampus sangat mahal dibandingkan fasilitas yang diberikan,keuangan,normal
Dosen memberikan nilai kelompok tanpa mempertimbangkan kontribusi individu,akademik,normal
Tidak ada jalur evakuasi khusus untuk mahasiswa difabel saat simulasi bencana,fasilitas,urgent
Listrik padam mendadak di laboratorium fisika saat praktikum berlangsung, fasilitas,urgent
Website peminjaman ruang rapat online sering tidak menampilkan slot yang sebenarnya tersedia,teknologi,normal
Mahasiswa tidak bisa login SIAKAD karena lupa password dan sistem reset password tidak mengirimkan email,teknologi,urgent
BEM tidak pernah mengadakan pengaduan atau aspirasi secara langsung ke mahasiswa,administrasi,normal
Jadwal mata kuliah pilihan minor tidak pernah sinkron dengan jadwal mayor sehingga sulit mengambil keduanya,akademik,urgent
Papan tulis interaktif di ruang kuliah 405 tidak berfungsi padahal dosen sudah siap mengajar,fasilitas,urgent
"""""""Dosen tidak memberikan contoh soal latihan sebelum ujian, mahasiswa tidak punya gambaran""""""",akademik,normal
Kartu ujian (exam card) tidak diberikan karena ada tunggakan UKT yang sebenarnya sudah dibayar,administrasi,urgent
Toilet umum tidak ada gantungan baju sehingga sulit saat mahasiswa membawa jaket atau tas, fasilitas,low
Fasilitas ruang tunggu antar jemput mahasiswa tidak ada atap dan kursi, fasilitas,normal
Pengumuman kelulusan sidang skripsi terlambat diumumkan sehingga mahasiswa tidak bisa daftar wisuda,administrasi,urgent
Mahasiswa tidak diizinkan mengambil KRS karena belum menandatangani kontrak belajar yang tidak pernah diberikan,administrasi,urgent
Tidak ada fasilitas tempat sampah khusus botol plastik di kantin, fasilitas,low
Koneksi zoom meeting sering putus nyambung saat perkuliahan dosen tamu dari luar negeri,teknologi,urgent
Dosen pembimbing akademik tidak memberi arahan mengenai mata kuliah yang harus diambil, akademik,normal
"""""""Saya difitnah oleh teman sekelas telah mencuri charger hp padahal tidak, dan dosen wali tidak mau menengahi""""""",lainnya,urgent
Koleksi buku di perpustakaan untuk mata kuliah kewirausahaan semuanya edisi lama 10 tahun yang lalu,akademik,normal
Lantai di gedung olahraga licin dan tidak ada alas keset sehingga beberapa mahasiswa terpeleset, fasilitas,urgent
"""""""Layanan kesehatan kampus tidak memiliki dokter umum tetap, hanya perawat""""""", kesejahteraan,urgent
Pendaftaran mata kuliah ulang (remidi) harus datang langsung ke kampus padahal semua sistem sudah online,administrasi,normal
Kamar mandi di asrama putra bau dan tidak disediakan pembersih lantai,fasilitas,urgent
"""""""Tidak ada larangan merokok yang efektif di area kampus, banyak mahasiswa merokok di depan pintu kelas""""""",fasilitas,normal
Dosen mengancam akan memberi nilai E jika mahasiswa tidak membeli bukunya,akademik,urgent
Wifi kampus memblokir akses ke situs github dan stackoverflow padahal sangat penting untuk mahasiswa IT,teknologi,urgent
"""""""Kapasitas ruang kuliah tidak memadai untuk jumlah mahasiswa yang mendaftar, banyak yang duduk di lantai""""""",fasilitas,urgent
Kucing masuk sumur di belakang gedung rektorat sudah 3 jam dan belum bisa dievakuasi mohon bantuan segera,fasilitas,urgent
Kucing terjatuh ke sumur tua di area parkir belakang fakultas teknik suara tangisannya sudah melemah,fasilitas,urgent
Laporan warga kampus: kucing masuk sumur sedalam 12 meter di dekat laboratorium biologi butuh tim evakuasi,fasilitas,urgent
"Kucing liar masuk sumur kering di belakang perpustakaan pusat, kondisinya lemas dan butuh pertolongan cepat",fasilitas,urgent
Anak kucing terjatuh ke sumur resapan dekat gedung A lantai dasar tolong dievakuasi sebelum tenggelam,fasilitas,urgent
"Kucing hamil masuk sumur kampus di area belakang mushola, kondisi darurat mohon tim rescue segera datang",fasilitas,urgent
"Kucing masuk sumur sedalam 8 meter di area pembangunan gedung baru kampus, tidak ada akses turun",fasilitas,urgent
Kucing masuk sumur di dekat kantin fakultas hukum dan mahasiswa sudah mencoba menolong namun gagal,fasilitas,urgent
"Kucing masuk sumur tua yang tertutup ilalang di belakang asrama mahasiswa, tidak terlihat lubangnya",fasilitas,urgent
"Kucing masuk sumur di area taman belakang fakultas kedokteran, terdengar mengeong histeris sejak tadi pagi",fasilitas,urgent
